year,Total carbon emissions(million metric tons),Carbon emissions from gas fuel consumption,Carbon emissions from liquid fuel consumption,Carbon emissions from solid fuel consumption,Carbon emissions from cement production,Carbon emissions from gas flaring
1901,552,4,18,531,0,0
1902,566,4,19,543,0,0
1903,617,4,20,593,0,0
1904,624,4,23,597,0,0
1905,663,5,23,636,0,0
1906,707,5,23,680,0,0
1907,784,5,28,750,0,0
1908,750,5,30,714,0,0
1909,785,6,32,747,0,0
1910,819,7,34,778,0,0
1911,836,7,36,792,0,0
1912,879,8,37,834,0,0
1913,943,8,41,895,0,0
1914,850,8,42,800,0,0
1915,838,9,45,784,0,0
1916,901,10,48,842,0,0
1917,955,11,54,891,0,0
1918,936,10,53,873,0,0
1919,806,10,61,735,0,0
1920,932,11,78,843,0,0
1921,803,10,84,709,0,0
1922,845,11,94,740,0,0
1923,970,14,111,845,0,0
1924,963,16,110,836,0,0
1925,975,17,116,842,0,0
1926,983,19,119,846,0,0
1927,1062,21,136,905,0,0
1928,1065,23,143,890,10,0
1929,1145,28,160,947,10,0
1930,1053,28,152,862,10,0
1931,940,25,147,759,8,0
1932,847,24,141,675,7,0
1933,893,25,154,708,7,0
1934,973,28,162,775,8,0
1935,1027,30,176,811,9,0
1936,1130,34,192,893,11,0
1937,1209,38,219,941,11,0
1938,1142,37,214,880,12,0
1939,1192,38,222,918,13,0
1940,1299,42,229,1017,11,0
1941,1334,42,236,1043,12,0
1942,1342,45,222,1063,11,0
1943,1391,50,239,1092,10,0
1944,1383,54,275,1047,7,0
1945,1160,59,275,820,7,0
1946,1238,61,292,875,10,0
1947,1392,67,322,992,12,0
1948,1469,76,364,1015,14,0
1949,1419,81,362,960,16,0
1950,1630,97,423,1070,18,23
1951,1767,115,479,1129,20,24
1952,1795,124,504,1119,22,26
1953,1841,131,533,1125,24,27
1954,1865,138,557,1116,27,27
1955,2042,150,625,1208,30,31
1956,2177,161,679,1273,32,32
1957,2270,178,714,1309,34,35
1958,2330,192,731,1336,36,35
1959,2454,206,789,1382,40,36
1960,2569,227,849,1410,43,39
1961,2580,240,904,1349,45,42
1962,2686,263,980,1351,49,44
1963,2833,286,1052,1396,51,47
1964,2995,316,1137,1435,57,51
1965,3130,337,1219,1460,59,55
1966,3288,364,1323,1478,63,60
1967,3393,392,1423,1448,65,66
1968,3566,424,1551,1448,70,73
1969,3780,467,1673,1486,74,80
1970,4053,493,1839,1556,78,87
1971,4208,530,1947,1559,84,88
1972,4376,560,2057,1576,89,95
1973,4614,588,2241,1581,95,110
1974,4623,597,2245,1579,96,107
1975,4596,604,2132,1673,95,92
1976,4864,630,2314,1710,103,108
1977,5016,650,2398,1756,108,104
1978,5074,680,2392,1780,116,106
1979,5357,721,2544,1875,119,98
1980,5301,737,2422,1935,120,86
1981,5138,755,2289,1908,121,65
1982,5094,738,2196,1976,121,64
1983,5075,739,2176,1977,125,58
1984,5258,807,2199,2074,128,51
1985,5417,835,2186,2216,131,49
1986,5583,830,2293,2277,137,46
1987,5725,892,2306,2339,143,44
1988,5936,935,2412,2387,152,50
1989,6066,982,2459,2428,156,41
1990,6096,1024,2490,2384,157,40
1991,6171,1050,2603,2312,161,45
1992,6110,1084,2500,2323,167,36
1993,6104,1117,2513,2262,176,37
1994,6208,1133,2535,2315,186,39
1995,6344,1152,2559,2398,197,39
1996,6491,1200,2626,2422,203,40
1997,6589,1195,2699,2445,209,40
1998,6571,1225,2758,2343,209,36
1999,6559,1258,2740,2309,217,35
2000,6727,1285,2843,2327,226,46
2001,6886,1312,2845,2445,237,47
2002,6946,1345,2831,2468,252,49
2003,7367,1390,2959,2694,276,48
2004,7735,1435,3044,2904,298,54
2005,8025,1477,3069,3098,320,60
2006,8307,1530,3092,3267,356,62
2007,8488,1561,3098,3382,382,66
2008,8738,1626,3125,3530,388,69
2009,8641,1580,3065,3517,415,64
2010,9137,1700,3129,3795,448,66
2011,9508,1762,3158,4027,496,64
2012,9671,1787,3214,4086,520,65
2013,9776,1806,3216,4131,554,68
