CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,year
1.1102362190000001,0.417322834,1.8031496040000001,1901
1.291338581,0.61023622,1.972440943,1902
1.6062992109999998,0.937007873,2.275590549,1903
1.2007874,0.53543307,1.86614173,1904
0.9842519679999999,0.377952756,1.590551179,1905
1.251968503,0.6732283459999999,1.83070866,1906
1.196850392,0.61023622,1.783464565,1907
1.098425196,0.527559055,1.669291337,1908
1.27559055,0.7007874009999999,1.850393699,1909
1.2716535420000001,0.696850393,1.846456691,1910
1.598425195,1.039370078,2.157480313,1911
1.476377951,0.917322834,2.035433069,1912
1.5472440930000002,0.992125983,2.102362203,1913
1.795275589,1.251968503,2.338582675,1914
2.10629921,1.57086614,2.641732281,1915
2.031496061,1.5196850380000002,2.5433070840000003,1916
1.854330707,1.350393699,2.358267714,1917
1.791338581,1.291338581,2.29133858,1918
1.854330707,1.354330707,2.354330706,1919
1.905511809,1.393700786,2.417322832,1920
1.988188974,1.472440943,2.503937005,1921
1.952755904,1.433070865,2.472440942,1922
1.999999998,1.488188975,2.5118110209999998,1923
1.7125984230000002,1.196850392,2.228346454,1924
1.791338581,1.255905511,2.326771651,1925
2.0472440919999997,1.507874014,2.586614171,1926
2.003937006,1.4960629909999998,2.5118110209999998,1927
1.850393699,1.366141731,2.3346456669999998,1928
1.905511809,1.4291338569999998,2.381889761,1929
2.062992124,1.590551179,2.535433068,1930
2.0472440919999997,1.5669291319999998,2.527559053,1931
2.271653541,1.8031496040000001,2.740157478,1932
2.440944879,1.976377951,2.905511808,1933
2.228346454,1.7598425180000001,2.6968503910000003,1934
2.448818895,1.980314959,2.917322832,1935
2.295275588,1.83070866,2.759842517,1936
2.519685037,2.0551181080000003,2.984251965,1937
2.6220472409999998,2.157480313,3.08661417,1938
2.826771651,2.3464566909999998,3.3070866110000003,1939
2.618110234,2.18110236,3.0551181069999997,1940
3.098425194,2.673228344,3.5236220439999997,1941
3.098425194,2.673228344,3.5236220439999997,1942
3.098425194,2.673228344,3.5236220439999997,1943
2.84645669,2.425196848,3.2677165319999997,1944
2.95669291,2.535433068,3.3779527519999997,1945
3.2519685010000003,2.834645666,3.669291335,1946
3.374015745,2.996062989,3.7519685,1947
3.562992122,3.19685039,3.929133854,1948
3.51181102,3.1811023589999996,3.842519681,1949
3.598425193,3.287401571,3.909448815,1950
3.9724409410000003,3.6653543269999997,4.279527555,1951
3.8700787360000004,3.56692913,4.173228342,1952
4.043307082,3.748031492,4.338582673,1953
3.929133854,3.64173228,4.2165354289999994,1954
3.964566925,3.6850393660000003,4.244094484,1955
3.763779524,3.488188973,4.039370075,1956
4.291338578,4.019685035,4.562992121000001,1957
4.346456688,4.086614169,4.606299208,1958
4.358267712,4.102362201,4.614173224,1959
4.503937003,4.244094484,4.763779523,1960
4.748031491,4.488188972,5.007874011,1961
4.543307082,4.283464563,4.803149601,1962
4.480314956,4.220472437,4.740157475,1963
4.1692913339999995,3.905511807,4.433070862,1964
4.6102362160000006,4.346456688,4.874015743,1965
4.397637791,4.137795271,4.65748031,1966
4.452755901000001,4.196850389,4.708661413,1967
4.484251963999999,4.220472437,4.748031491,1968
4.751968499,4.4763779480000006,5.02755905,1969
4.67716535,4.401574799,4.9527559000000005,1970
4.881889759,4.6102362160000006,5.153543302,1971
5.240157475,4.968503932,5.5118110179999995,1972
5.003937003,4.736220468,5.271653538,1973
5.472440939,5.204724403999999,5.740157474,1974
5.409448812999999,5.145669286,5.673228341000001,1975
5.370078735,5.1023622,5.63779527,1976
5.303149601,5.043307081,5.56299212,1977
5.555118105,5.291338577,5.8188976320000005,1978
5.362204719,5.098425192,5.625984246,1979
5.5984251910000005,5.34251968,5.854330703,1980
6.0866141670000005,5.830708655,6.342519679,1981
5.858267711,5.610236215,6.106299206,1982
6.188976372000001,5.93307086,6.444881883,1983
6.153543301,5.905511805,6.401574797,1984
5.74803149,5.4999999939999995,5.996062986,1985
5.771653537000001,5.523622042,6.019685032999999,1986
5.795275585,5.551181097000001,6.039370073,1987
5.980314955,5.732283459,6.22834645,1988
6.157480308999999,5.905511805,6.409448812000001,1989
6.2322834579999995,5.972440939,6.492125978,1990
6.334645663,6.074803143,6.594488182,1991
6.35826771,6.094488182999999,6.622047237,1992
6.291338576,6.027559049,6.555118104,1993
6.499999992999999,6.236220466,6.763779521,1994
6.618110229,6.354330702,6.881889757000001,1995
6.787401568,6.523622041,7.051181095,1996
7.066929127000001,6.803149599,7.3307086539999995,1997
6.665354324,6.393700781000001,6.937007867,1998
7.011811016,6.736220466,7.287401567000001,1999
7.062992119,6.791338576,7.334645662000001,2000
7.287401567000001,7.019685032000001,7.555118103,2001
7.3818897560000005,7.110236212999999,7.653543299,2002
7.7598425120000005,7.484251961,8.035433063,2003
7.740157472000001,7.464566922,8.015748022999999,2004
7.74409448,7.472440937000001,8.015748022999999,2005
7.9173228270000005,7.645669283999999,8.18897637,2006
7.996062984,7.712598417000001,8.279527551000001,2007
8.350393692,8.078740149,8.622047235,2008
8.586614164,8.311023614,8.862204715,2009
8.901574794,8.618110227,9.185039361,2010
8.96456692,8.661417314,9.267716526000001,2011
9.326771643999999,8.992125975,9.661417313,2012
8.980314951,8.622047235,9.338582667999999,2013
,,,2014
